Riepilogo coordinate elementi magnetici TL,,,,,,,
"M. Paris, F. Putino, L.Pellegrino 20/9/2017",,,,,,,
,,,,,,,
SISTEMA DI RIFERIMENTO,,,,,,,
CENTRO DAFNE,0,0,,,,,
ASSE X,POSITIVO VERSO IP1,,,,,,
ASSE Z,POSITIVO VERSO L'ALTO,,,,,,
ASSE Y,DI CONSEGUENZA,,,,,,
,,,,,,,
ELEMENTI TRANSFER LINE,,,,,,,
,POSIZIONE CAD,,POSIZIONE MISURATA ,,NOTE,,
Nome Punto,X,Y,X,Y,,,
QUATM01,"-33055,79","44423,09",,,,,
QUATM02,"-30262,11","44038,69",,,,,
QUATM03,"-27171,23","43613,41",,,,,
CHVTM01,"-26818,55","43564,88",,,,,
CHVTM02,"-24934,31","43305,62",,,,,
QUATM04,"-23911,94","43164,95",,,,,
DHPTS01 - CENTRO,"-22754,09","43005,63",,,,,
DHPTS01 - ENTRATA,"-23092,48","43052,19",,,,,
DHPTS01 - USCITA,"-22413,73","42976,85",,,,,
CHVTM03,"-18102,67","42365,63",,,,,
QUATM05,"-17363,63","42263,94",,,,,
DHSTS01 - CENTRO,"-16389,36","43143,8",,,,,
DHSTS01 - ENTRATA,"-17254,13","42925,53",,,,,
DHSTS01 - USCITA,"-15749,58","43765,21",,,,,
QUATM07,"-16571,1","42154,89",,,,,
QUATB101,"-16120,2","42444,56",,,,,
QUATB102,"-15597,07","42400,32",,,,,
DHSTB001 - CENTRO,"-14325,23","42421,23",,,,,
DHSTB001 - ENTRATA,"-14995,04","42363,62",,,,,
DHSTB001 - USCITA,"-13728,45","42730,77",,,dist. Usc.DHSTB001-QUATB001=2400 mm (31-3-17),,
QUATB001,"-11790,04","44199,34",,,dist. QUATB001-QUATB002=1100 mm (31-3-17),,
CHVTB01,"-11550,97","44380,57",,,,,
QUATB002,"-10905,49","44869,91",,,,,
CHVTB02,"-10666,42","45051,15",,,,,
QUATB003,"-8026,85","46998,96",,,,,
QUATB004,"-7289,4","47611,26",,,,,
DHSTB002 - CENTRO,"-6142,72","48645,13",,,,,
DHSTB002 - ENTRATA,"-6588,93","48142,28",,,,,
DHSTB002 - USCITA,"-5922,91","49280,46",,,,,
QUATM08,"-13589,2","41744,6",,,,,
CHVTM04,"-13286,05","41702,89",,,,,
QUATM09,"-12697,6","41621,92",,,,,
QUATT06,"-6852,67","40817,69",,,,,
CHVTT05,"-6197,84","40727,59",,,,,
DHPTT01 - CENTRO,"-1496,03","40189,53",,,,,
DHPTT01 - ENTRATA,"-2047,93","40156,59",,,,,
DHPTT01 - USCITA,"-998,74","40431,16",,,,,
QUATT05,"435,66","41518,58",,,,,
CHVTT04,"759,2","41763,86",,,,,
QUATT04,"2304,38","42935,25",,,,,
CHVTT03,"2627,91","43180,52",,,,,
QUATT03,"3898,16","44143,49",,,,,
CHVTT02,"4221,7","44388,76",,,,,
QUATT02,"5491,95","45351,73",,,,,
CHVTT01,"5815,48","45597,01",,,,,
QUATT01,"7300,89","46723,09",,,,,
DHYTT01 - CENTRO DX,"9271,63","48119,32",,,,,
DHYTT01 - CENTRO SX,"9177,48","48243,5",,,,,
DHYTT01 - ENTRATA,"8832,52","47884,21",,,,,
DHYTT01 - USCITA DX,"9761,89","48207,23",,,,,
DHYTT01 - USCITA SX,"9394,53","48691,81",,,,,
QUATL05,"9702,39","49709,25",,,,,
CHVTL03,"9805,49",50050,,,,,
QUATL04,"10458,47","52208,11",,,,,
CHVTL02,"10569,95","52576,54",,,,,
QUATL03,"10671,69","52912,78",,,,,
QUATL02,"10882,91","53610,88",,,,,
CHVTL01,"11001,31","54002,21",,,,,
QUATL01,"11276,94","54913,15",,,,,
QUATR05,"10824,67","48228,85",,,,,
CHVTR03,"11180,6","48236,09",,,,,
QUATR04,"13434,87","48281,96",,,,,
CHVTR02,"13819,72","48289,79",,,,,
QUATR03,"14170,94","48296,94",,,,,
QUATR02,"14900,14","48311,77",,,,,
CHVTR01,"15308,91","48320,09",,,,,
QUATR01,"16260,44","48339,45",,,,,
DHPTT02 - CENTRO,"-11812,04","41391,19",,,,,
DHPTT02 - ENTRATA,"-11260,14","41424,13",,,,,
DHPTT02 - USCITA,"-12309,33","41149,56",,,,,
CHVTT06,"-12506,16","41000,34",,,,,
DHRTT01 - CENTRO,"-13439,06","40231,33",,,,,
DHRTT01 - ENTRATA,"-13170,77","40496,5",,,,,
DHRTT01 - USCITA,"-13629,57","39905,75",,,,,
QUATT07,"-13833,42","39421,75",,,,,
DHSTT01 - CENTRO,"-14160,1","38367,84",,,,,
DHSTT01 - ENTRATA,"-14049,07","38909,47",,,,,
DHSTT01 - USCITA,"-14055,4","37824,96",,,,,
CHVTT07,"-13208,77","35746,7",,,,,
QUATT08,"-13074,46","35417,01",,,,,
QUATT09,"-11631,42","31874,76",,,,,
CHVTT09,"-10516,79","29138,97",,,,,
QUATT10,"-10256,97","28500,84",,,,,
CHVTT10,"-9034,44","25500,34",,,,,
QUATT11,,,,,,,
DHRTP01 - CENTRO,"-8724,37","24786,85",,,,,
DHRTP01 - ENTRATA,"-8825,86","24988,35",,,,,
DHRTP01 - USCITA,"-8592,19",24604,,,,,
CHVTP01,"-6196,57","21792,2",,,,,
CHVTP02,"-4845,04","20205,88",,,,,
DHRTP02 - CENTRO,"-3287,08","18397,84",,,,,
DHRTP02 - ENTRATA,"-3443,28","18560,61",,,,,
DHRTP02 - USCITA,"-3112,75","18254,66",,,,,
CHVTP03,"-2326,37","17680,7",,,,,
CHVTE01,"-6676,41","19712,23",,,,,
QUATE01,"-6538,19","19372,25",,,,,
QUATE02,"-5088,05","15812,57",,,,,
CHVTE02,"-4631,25","14692,11",,,,,
DHRTE01 - CENTRO,"-4245,32","13612,98",,,,,
DHRTE01 - ENTRATA,"-4340,42","13978,24",,,,,
DHRTE01 - USCITA,"-4248,97","13235,56",,,,,
QUATE03,"-4560,62","11052,7","-4557,77","11057,4",CALCOLATO COME PUNTO MEDIO MIRE,,
SXPTE01,,,"-4665,18","10267,81",CALCOLATO COME PUNTO MEDIO MIRE,,
CHVTE03,"-4990,87","8039,26",,,,,
QUATE04,"-5041,19","7686,83","-5038,19","7698,84",CALCOLATO COME PUNTO MEDIO MIRE,,
QUA sn T93-A3-20,,,"-5601,85","3746,61",CALCOLATO COME PUNTO MEDIO MIRE,,
QUA sn T93-A3-21,,,"-6142,38","-732,67",CALCOLATO COME PUNTO MEDIO MIRE,,
QUATE05,"-6840,15","-4913,12","-6838,35","-4904,44",CALCOLATO COME PUNTO MEDIO MIRE,,
CHVTE04,"-6890,46","-5265,54",,,,,
QUATE06,"-7292,44","-8080,99","-7291,24","-8073,74",CALCOLATO COME PUNTO MEDIO MIRE,,
DHRTE02 - CENTRO,"-7514,03","-9993,64",,,,,
DHRTE02 - ENTRATA,"-7511,66","-9616,42",,,,,
DHRTE02 - USCITA,"-7415,32","-10357,72",,,,,
DHRTE03 - CENTRO,"-6902,17","-11439,7",,,,,
DHRTE03 - ENTRATA,"-7094,76","-11115,34",,,,,
DHRTE03 - USCITA,"-6629,77","-11700,65",,,,,
QUATE07,"-5923,54","-12213,86",,,,,
CHVTE05,"-5299,87","-12667,52",,,,,
QUATE08,"-5057,96","-12842,87",,,,,
DVRTE03 - CENTRO,"-4212,53","-13454,77","-4191,31","-13465,33",CALCOLATO DA RILIEVO MECCANICO (nov. 2010),,
QUATE09,"-2894,69","-14414,89",,,,,
CHVTE06,"-2343,92","-14816,2",,,,,
DVRTE04 - CENTRO,"-1295,4","-15576,71","-1268,88","-15580,05",CALCOLATO DA RILIEVO MECCANICO (nov. 2010),,
,,,,,,,
,,,,,,,
RIEPILOGO MISURE,POSIZIONE CAD,,POSIZIONE MISURATA ,,NOTE,,
,X,Y,X,Y,,,
DHRTE01,"-4234,59","13326,01","-4234,59","13326,01",CENTRO MIRA USCITA    ,,
DHRTE02,"-7523,91","-9713,97","-7523,91","-9702,24",CENTRO MIRA ENTRATA ,,
CENTRO DVRTE03,"-4212,53","-13454,77","-4191,31","-13465,33",CALCOLATO DA RILIEVO MECCANICO (NOV. 2010),,
CENTRO DVRTE04,"-1295,3964","-15576,7062","-1268,88","-15580,05",CALCOLATO DA RILIEVO MECCANICO (NOV. 2010),,
QUATE03,"-4560,6242","11052,6997","-4557,77","11057,4",CALCOLATO COME PUNTO MEDIO MIRE,,
SXPTE01,,,"-4665,18","10267,81",CALCOLATO COME PUNTO MEDIO MIRE,,
QUATE04,"-5041,1862","7686,8309","-5038,19","7698,84",CALCOLATO COME PUNTO MEDIO MIRE,,
QUA sn T93-A3-20,,,"-5601,85","3746,61",CALCOLATO COME PUNTO MEDIO MIRE,,
QUA sn T93-A3-21,,,"-6142,38","-732,67",CALCOLATO COME PUNTO MEDIO MIRE,,
QUATE05,"-6840,1458","-4913,1156","-6838,35","-4904,44",CALCOLATO COME PUNTO MEDIO MIRE,,
QUATE06,"-7292,4397","-8080,9903","-7291,24","-8073,74",CALCOLATO COME PUNTO MEDIO MIRE,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,CALCOLATO DA RILIEVO MECCANICO
,,,,,,,CALCOLATO DA RILIEVO MECCANICO
