#Riepilogo coordinate elementi magnetici TL       
#M. Paris. F. Putino. L.Pellegrino 20/9/2017        
       
#SISTEMA DI RIFERIMENTO       
CENTRO:DAFNE 0 0     
#ASSE X.POSITIVO VERSO IP1      
#ASSE Z.POSITIVO VERSO L'ALTO      
#ASSE Y.DI CONSEGUENZA      
       
#ELEMENTI TRANSFER LINE       
#.POSIZIONE CAD  POSIZIONE MISURATA   NOTE  
#Nome Punto.X.Y.X.Y   
QUATM001  -33055.79   44423.09      
QUATM002  -30262.11   44038.69      
QUATM003  -27171.23   43613.41      
CHVTM001  -26818.55   43564.88      
CHVTM002  -24934.31   43305.62      
QUATM004  -23911.94   43164.95      
DHPTS001:CENTRO  -22754.09   43005.63      
DHPTS001:ENTRATA  -23092.48   43052.19      
DHPTS001:USCITA  -22413.73   42976.85      
CHVTM003  -18102.67   42365.63      
QUATM005  -17363.63   42263.94      
DHSTS001:CENTRO  -16389.36   43143.8      
DHSTS001:ENTRATA  -17254.13   42925.53      
DHSTS001:USCITA  -15749.58   43765.21      
QUATM007  -16571.1   42154.89      
QUATB0101  -16120.2   42444.56      
QUATB0102  -15597.07   42400.32      
DHSTB0001:CENTRO  -14325.23   42421.23      
DHSTB0001:ENTRATA  -14995.04   42363.62      
DHSTB0001:USCITA  -13728.45   42730.77    dist. Usc.DHSTB001-QUATB001=2400 mm (31-3-17)  
QUATB0001  -11790.04   44199.34    dist. QUATB001-QUATB002=1100 mm (31-3-17)  
CHVTB001  -11550.97   44380.57      
QUATB0002  -10905.49   44869.91      
CHVTB002  -10666.42   45051.15      
QUATB0003  -8026.85   46998.96      
QUATB0004  -7289.4   47611.26      
DHSTB0002:CENTRO  -6142.72   48645.13      
DHSTB0002:ENTRATA  -6588.93   48142.28      
DHSTB0002:USCITA  -5922.91   49280.46      
QUATM008  -13589.2   41744.6      
CHVTM004  -13286.05   41702.89      
QUATM009  -12697.6   41621.92      
QUATT006  -6852.67   40817.69      
CHVTT005  -6197.84   40727.59      
DHPTT001:CENTRO  -1496.03   40189.53      
DHPTT001:ENTRATA  -2047.93   40156.59      
DHPTT001:USCITA  -998.74   40431.16      
QUATT005  435.66   41518.58      
CHVTT004  759.2   41763.86      
QUATT004  2304.38   42935.25      
CHVTT003  2627.91   43180.52      
QUATT003  3898.16   44143.49      
CHVTT002  4221.7   44388.76      
QUATT002  5491.95   45351.73      
CHVTT001  5815.48   45597.01      
QUATT001  7300.89   46723.09      
DHYTT001:CENTRO:DX  9271.63   48119.32      
DHYTT001:CENTRO:SX  9177.48   48243.5      
DHYTT001:ENTRATA  8832.52   47884.21      
DHYTT001:USCITA:DX  9761.89   48207.23      
DHYTT001:USCITA:SX  9394.53   48691.81      
QUATL005  9702.39   49709.25      
CHVTL003  9805.49 50050     
QUATL004  10458.47   52208.11      
CHVTL002  10569.95   52576.54      
QUATL003  10671.69   52912.78      
QUATL002  10882.91   53610.88      
CHVTL001  11001.31   54002.21      
QUATL001  11276.94   54913.15      
QUATR005  10824.67   48228.85      
CHVTR003  11180.6   48236.09      
QUATR004  13434.87   48281.96      
CHVTR002  13819.72   48289.79      
QUATR003  14170.94   48296.94      
QUATR002  14900.14   48311.77      
CHVTR001  15308.91   48320.09      
QUATR001  16260.44   48339.45      
DHPTT002:CENTRO  -11812.04   41391.19      
DHPTT002:ENTRATA  -11260.14   41424.13      
DHPTT002:USCITA  -12309.33   41149.56      
CHVTT006  -12506.16   41000.34      
DHRTT001:CENTRO  -13439.06   40231.33      
DHRTT001:ENTRATA  -13170.77   40496.5      
DHRTT001:USCITA  -13629.57   39905.75      
QUATT007  -13833.42   39421.75      
DHSTT001:CENTRO  -14160.1   38367.84      
DHSTT001:ENTRATA  -14049.07   38909.47      
DHSTT001:USCITA  -14055.4   37824.96      
CHVTT007  -13208.77   35746.7      
QUATT008  -13074.46   35417.01      
QUATT009  -11631.42   31874.76      
CHVTT009  -10516.79   29138.97      
QUATT010  -10256.97   28500.84      
CHVTT010  -9034.44   25500.34      
QUATT011  ??? ???     
DHRTP001:CENTRO  -8724.37   24786.85      
DHRTP001:ENTRATA  -8825.86   24988.35      
DHRTP001:USCITA  -8592.19 24604     
CHVTP001  -6196.57   21792.2      
CHVTP002  -4845.04   20205.88      
DHRTP002:CENTRO  -3287.08   18397.84      
DHRTP002:ENTRATA  -3443.28   18560.61      
DHRTP002:USCITA  -3112.75   18254.66      
CHVTP003  -2326.37   17680.7      
CHVTE001  -6676.41   19712.23      
QUATE001  -6538.19   19372.25      
QUATE002  -5088.05   15812.57      
CHVTE002  -4631.25   14692.11      
DHRTE001:CENTRO  -4245.32   13612.98      
DHRTE001:ENTRATA  -4340.42   13978.24      
DHRTE001:USCITA  -4248.97   13235.56      
QUATE003  -4560.62   11052.7   -4557.77   11057.4 .CALCOLATO COME PUNTO MEDIO MIRE  
SXPTE001 ??? ???   -4665.18   10267.81 .CALCOLATO COME PUNTO MEDIO MIRE  
CHVTE003  -4990.87   8039.26      
QUATE004  -5041.19   7686.83   -5038.19   7698.84 .CALCOLATO COME PUNTO MEDIO MIRE  
QUA:s0n:T93-A3-20  ??? ???  -5601.85   3746.61 .CALCOLATO COME PUNTO MEDIO MIRE  
QUA:s0n:T93-A3-21  ??? ???  -6142.38   -732.67 .CALCOLATO COME PUNTO MEDIO MIRE  
QUATE005  -6840.15   -4913.12   -6838.35   -4904.44 .CALCOLATO COME PUNTO MEDIO MIRE  
CHVTE004  -6890.46   -5265.54      
QUATE006  -7292.44   -8080.99   -7291.24   -8073.74 .CALCOLATO COME PUNTO MEDIO MIRE  
DHRTE002:CENTRO  -7514.03   -9993.64      
DHRTE002:ENTRATA  -7511.66   -9616.42      
DHRTE002:USCITA  -7415.32   -10357.72      
DHRTE003:CENTRO  -6902.17   -11439.7      
DHRTE003:ENTRATA  -7094.76   -11115.34      
DHRTE003:USCITA  -6629.77   -11700.65      
QUATE007  -5923.54   -12213.86      
CHVTE005  -5299.87   -12667.52      
QUATE008  -5057.96   -12842.87      
DVRTE003:CENTRO  -4212.53   -13454.77   -4191.31   -13465.33 .CALCOLATO DA RILIEVO MECCANICO (nov. 2010)  
QUATE009  -2894.69   -14414.89      
CHVTE006  -2343.92   -14816.2      
DVRTE004:CENTRO  -1295.4   -15576.71   -1268.88   -15580.05 .CALCOLATO DA RILIEVO MECCANICO (nov. 2010)  
