@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %03s "TLe"
@ ORIGIN           %16s "5.03.04 Linux 64"
@ DATE             %08s "05/06/17"
@ TIME             %08s "10.49.27"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le 
 "E_AE$START"        "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0
 "SPTA2001"          "SBEND"                          0.623              0.623      0.03690907063     -0.01149587036                  0       0.6228585596     -0.03690907063                  0                  0                  0          0          0                  0                  0
 "D1"                "DRIFT"                          1.013               0.39                  0      -0.0258871399                  0        1.012592945     -0.03690907063                  0                  0                  0          0          0                  0                  0
 "SPTA2002"          "SBEND"                         1.6295             0.6165       0.2999955523      -0.1400163843                  0        1.616086811       -0.336904623                  0                  0                  0          0          0                  0                  0
 "SPTA2002K"         "KICKER"                        1.6295                  0                  0      -0.1400163843                  0        1.616086811       -0.336904623                  0                  0                  0          0          0                  0                  0
 "SPTA2002"          "SBEND"                          2.246             0.6165       0.2999955523      -0.4273904336                  0        2.158900302      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "D2A"               "DRIFT"                         2.4837             0.2377                  0       -0.568752102                  0        2.349997577      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "FL2TR001"          "MARKER"                        2.4837                  0                  0       -0.568752102                  0        2.349997577      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "D2B"               "DRIFT"                         2.7214             0.2377                  0      -0.7101137705                  0        2.541094852      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "QUATR001"          "QUADRUPOLE"                    2.8214                0.1                  0      -0.7695843925                  0        2.621489163      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "QUATR001"          "QUADRUPOLE"                    2.9214                0.1                  0      -0.8290550145                  0        2.701883473      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "D3"                "DRIFT"                         3.1984              0.277                  0      -0.9937886374                  0        2.924575712      -0.6369001753                  0                  0                  0          0          0                  0                  0
 "DVRTR001A"         "SBEND"                         3.3734              0.175      0.09613497556       -1.097701993    -0.008405333908        3.065049147      -0.6369001753     -0.09613497556   -2.840463138e-19        1.570796327          0          0                  0                  0
 "ROLL1"             "SROTATION"                     3.3734                  0                  0       -1.097701993    -0.008405333908        3.065049147      -0.6369001753     -0.09613497556        1.570796327        1.570796327          0          0                  0                  0
 "DVRTR001YR"        "YROTATION"                     3.3734                  0                  0       -1.097701993    -0.008405333908        3.065049147      -0.6369001753     -0.09569379224        1.666931302        1.570796327          0          0                  0                  0
 "ROLL2"             "SROTATION"                     3.3734                  0                  0       -1.097701993    -0.008405333908        3.065049147      -0.6369001753     -0.09569379224      0.09613497556      0.09613497556          0          0                  0                  0
 "DVRTR001B"         "SBEND"                         3.5484              0.175      0.09613497556       -1.200655728      -0.0335437139        3.204225336      -0.6369001753      -0.1913793603      0.09747898959        1.666931302          0          0                  0                  0
 "D4A"               "DRIFT"                         3.7794              0.231                  0       -1.335501417     -0.07768492828        3.386514099      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "CHVTR001"          "KICKER"                        3.7794                  0                  0       -1.335501417     -0.07768492828        3.386514099      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "BPSTR001"          "MARKER"                        3.7794                  0                  0       -1.335501417     -0.07768492828        3.386514099      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D4B"               "DRIFT"                         4.0974              0.318                  0       -1.521133145      -0.1384507559        3.637457073      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR002"          "QUADRUPOLE"                    4.1974                0.1                  0       -1.579507902      -0.1575595067        3.716369957      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR002"          "QUADRUPOLE"                    4.2974                0.1                  0       -1.637882659      -0.1766682575        3.795282842      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D5A"               "DRIFT"                         4.5689             0.2715                  0       -1.796370124      -0.2285485159        4.009531324      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "SIPTR001"          "MARKER"                        4.5689                  0                  0       -1.796370124      -0.2285485159        4.009531324      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D5B"               "DRIFT"                         4.8404             0.2715                  0        -1.95485759      -0.2804287744        4.223779806      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR003"          "QUADRUPOLE"                    4.9404                0.1                  0       -2.013232347      -0.2995375252        4.302692691      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR003"          "QUADRUPOLE"                    5.0404                0.1                  0       -2.071607104       -0.318646276        4.381605575      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D6A"               "DRIFT"                         5.2964              0.256                  0       -2.221046483      -0.3675646781         4.58362256      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "CHVTR002"          "KICKER"                        5.2964                  0                  0       -2.221046483      -0.3675646781         4.58362256      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D6B"               "DRIFT"                         5.5904              0.294                  0       -2.392668269      -0.4237444055        4.815626441      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR004"          "QUADRUPOLE"                    5.6904                0.1                  0       -2.451043026      -0.4428531563        4.894539326      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "QUATR004"          "QUADRUPOLE"                    5.7904                0.1                  0       -2.509417783      -0.4619619071        4.973452211      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "D7"                "DRIFT"                         6.3404               0.55                  0       -2.830478947      -0.5670600366        5.407473077      -0.6369001753      -0.1913793603      0.09747898959      0.09747898959          0          0                  0                  0
 "DVRTR002A"         "SBEND"                         6.5154              0.175     -0.09684599346       -2.933437402       -0.592136727        5.546655645      -0.6369001753     -0.09498605717       0.0961284492        1.668275316          0          0                  0                  0
 "ROLL1"             "SROTATION"                     6.5154                  0                  0       -2.933437402       -0.592136727        5.546655645      -0.6369001753     -0.09498605717        1.666924776        1.666924776          0          0                  0                  0
 "DVRTR002YR"        "YROTATION"                     6.5154                  0                  0       -2.933437402       -0.592136727        5.546655645      -0.6369001753      -0.0949924475        1.666220284        1.666924776          0          0                  0                  0
 "ROLL2"             "SROTATION"                     6.5154                  0                  0       -2.933437402       -0.592136727        5.546655645      -0.6369001753      -0.0949924475      0.09542395766      0.09542395766          0          0                  0                  0
 "DVRTR002B"         "SBEND"                         6.6904              0.175     -0.09684599346       -3.037355435      -0.6003556543        5.687135404      -0.6369001753     0.001415624702      0.09499254297        1.666220284          0          0                  0                  0
 "D8A"               "DRIFT"                         7.4519             0.7615                  0       -3.490223764      -0.5992727744        6.299337457      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "FL2TR002"          "MARKER"                        7.4519                  0                  0       -3.490223764      -0.5992727744        6.299337457      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "D8B"               "DRIFT"                         7.9574             0.5055                  0       -3.790847454      -0.5985539355        6.705730285      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "CHVTR003"          "KICKER"                        7.9574                  0                  0       -3.790847454      -0.5985539355        6.705730285      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "D8C"               "DRIFT"                         8.2134              0.256                  0       -3.943092092      -0.5981898945        6.911539511      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "QUATR005"          "QUADRUPOLE"                    8.3134                0.1                  0       -4.002562654       -0.598047691         6.99193374      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "QUATR005"          "QUADRUPOLE"                    8.4134                0.1                  0       -4.062033216      -0.5979054874        7.072327969      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "D9A"               "DRIFT"                         8.8949             0.4815                  0       -4.348383971      -0.5972207774        7.459426181      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "WCMTR001"          "MARKER"                        8.8949                  0                  0       -4.348383971      -0.5972207774        7.459426181      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "D9B"               "DRIFT"                         9.3764             0.4815                  0       -4.634734727      -0.5965360674        7.846524394      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "BPSTR002"          "MARKER"                        9.3764                  0                  0       -4.634734727      -0.5965360674        7.846524394      -0.6369001753     0.001415624702      0.09499254297      0.09499254297          0          0                  0                  0
 "DHYTT001A"         "SBEND"                         9.8764                0.5      -0.3151568803       -4.880931072      -0.5883917171        8.179340576      -0.6369001753      0.03075087921      0.08990280194      0.09499254297          0          0                  0                  0
 "DHYTT001B"         "SBEND"                        10.3764                0.5      -0.3151568803       -5.010359016      -0.5661595325        8.354305457      -0.6369001753      0.05707880866      0.07598595238      0.08990280194          0          0                  0                  0
 "BPSTT001"          "MARKER"                       10.3764                  0                  0       -5.010359016      -0.5661595325        8.354305457      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "VALTT001"          "MARKER"                       10.3764                  0                  0       -5.010359016      -0.5661595325        8.354305457      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D10"               "DRIFT"                        12.1484              1.772                  0       -5.243384794       -0.464612984         8.66931724      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT001"          "QUADRUPOLE"                   12.2984               0.15                  0       -5.263110453      -0.4560170572        8.695983023      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT001"          "QUADRUPOLE"                   12.4484               0.15                  0       -5.282836111      -0.4474211304        8.722648807      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D11A"              "DRIFT"                        14.1624              1.714                  0       -5.508234635      -0.3491983402        9.027349821      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "CHVTT001"          "KICKER"                       14.1624                  0                  0       -5.508234635      -0.3491983402        9.027349821      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D11B"              "DRIFT"                        14.4184              0.256                  0       -5.541899759      -0.3345279584        9.072859424      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT002"          "QUADRUPOLE"                   14.5684               0.15                  0       -5.561625417      -0.3259320316        9.099525207      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT002"          "QUADRUPOLE"                   14.7184               0.15                  0       -5.581351075      -0.3173361048         9.12619099      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
